asset_type,asset_name,asset_id,owner,access_holder,access_level,billing_owner,2fa_verified,status,review_date,notes
business_environment,,,,,,,,,,
facebook_page,,,,,,,,,,
instagram_professional,,,,,,,,,,
ad_account,,,,,,,,,,
dataset_pixel,,,,,,,,,,
domain,,,,,,,,,,
whatsapp_asset,,,,,,,,,,
metricool,,,,,,,,,,
manychat,,,,,,,,,,
